chave_unica;empresa;codigo;descricao;descricao_padrao;tipo_categoria;conta_inativa;definida_pelo_usuario;id_conta_contabil;tag_conta_contabil;conta_despesa;conta_receita;nao_exibir;natureza;totalizadora;transferencia;codigo_dre;categoria_superior
3Sa_0.01;3Sa;0.01;Transferência;Transferência;;N;N;;;N;N;S;;S;S;;0
3Sa_0.01.01;3Sa;0.01.01;Entrada de Transferência;Entrada de Transferência;;N;N;;;N;S;S;;N;S;;0.01
3Sa_0.01.02;3Sa;0.01.02;Saída de Transferência;Saída de Transferência;;N;N;;;S;N;S;;N;S;;0.01
3Sa_1.01;3Sa;1.01;Receitas Diretas;Receitas Diretas;;N;N;;;N;S;N;;S;N;;1
3Sa_1.01.01;3Sa;1.01.01;Clientes - Venda de Mercadoria Fabricadas;Clientes - Venda de Mercadoria Fabricadas;;S;N;;;N;S;N;Esta categoria deve ser utilizada para receitas provenientes de vendas de produtos fabricados.;N;N;1.01.01;1.01
3Sa_1.01.02;3Sa;1.01.02;Administracao de Contratos;Clientes - Serviços Prestados;CSB;N;N;1.1.3.02.00001;ATIVOS EM CONCILIAÇÃO;N;S;N;Esta categoria deve ser utilizada para receitas provenientes de serviços prestados a clientes. Não utilizar caso existam produtos envolvidos na prestação de serviços.;N;N;1.11.01;1.01
3Sa_1.01.03;3Sa;1.01.03;Clientes - Revenda de Mercadoria;Clientes - Revenda de Mercadoria;;S;N;;;N;S;N;Esta categoria deve ser utilizada para receitas provenientes de revendas de produtos.;N;N;1.01.01;1.01
3Sa_1.01.95;3Sa;1.01.95;Honorário Mensal - Societário;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;1.01.01;1.01
3Sa_1.01.96;3Sa;1.01.96;Honorários - Mensal;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;1.01.01;1.01
3Sa_1.01.97;3Sa;1.01.97;Recrutamento e Seleção;"&lt;Disponível&gt;";;N;S;;;N;S;N;Categoria criada para faturamento venda de recrutamento e seleção.;N;N;1.01.01;1.01
3Sa_1.01.98;3Sa;1.01.98;Receita com Infraestrutura;"&lt;Disponível&gt;";;N;S;3.2.5.01.00008;RECEITA COM INFRAESTRUTURA;N;S;N;;N;N;1.11.01;1.01
3Sa_1.01.99;3Sa;1.01.99;Receita com Pessoal;"&lt;Disponível&gt;";;N;S;3.2.5.01.00007;RECEITA COM PESSOAL;N;S;N;;N;N;1.11.01;1.01
3Sa_1.02;3Sa;1.02;Receitas Indiretas;Receitas Indiretas;;N;N;;;N;S;N;;S;N;;1
3Sa_1.02.01;3Sa;1.02.01;Dividendos Recebidos;Dividendos Recebidos;;S;N;;;N;S;S;Esta categoria deve ser utilizada para receitas provenientes de recebimento de lucros gerados por empresas das quais a sua empresa é dona, ou seja, se a sua empresa é dona ou acionista de outra empresa, quando você receber um repasse que seja originado exclusivamente de lucros gerados após todas as despesas diretas e indiretas pagas, você deve classificar nesta categoria.;N;N;1.11.01;1.02
3Sa_1.02.02;3Sa;1.02.02;Rendimento de Aplicação;Juros de Aplicações;;N;N;3.2.5.01.00009;RENDIMENTOS DE APLICAÇÕES FINANCEIRAS;N;S;N;Esta categoria deve ser utilizada para registrar uma receita de juros provenientes de uma determinada aplicação financeira ou ganho de capital. Por exemplo: juros obtidos por uma aplicação em ações na bolsa, ou por um fundo de investimento em seu banco.;N;N;1.11.01;1.02
3Sa_1.02.95;3Sa;1.02.95;"&lt;Disponível&gt;";"&lt;Disponível&gt;";;S;S;;;N;S;S;Você pode informar aqui um descritivo para orientar sobre como esta categoria deve ser utilizada.;N;N;;1.02
3Sa_1.02.96;3Sa;1.02.96;"&lt;Disponível&gt;";"&lt;Disponível&gt;";;S;S;;;N;S;S;Você pode informar aqui um descritivo para orientar sobre como esta categoria deve ser utilizada.;N;N;;1.02
3Sa_1.02.97;3Sa;1.02.97;"&lt;Disponível&gt;";"&lt;Disponível&gt;";;S;S;;;N;S;S;Você pode informar aqui um descritivo para orientar sobre como esta categoria deve ser utilizada.;N;N;;1.02
3Sa_1.02.98;3Sa;1.02.98;"&lt;Disponível&gt;";"&lt;Disponível&gt;";;S;S;;;N;S;S;Você pode informar aqui um descritivo para orientar sobre como esta categoria deve ser utilizada.;N;N;;1.02
3Sa_1.02.99;3Sa;1.02.99;"&lt;Disponível&gt;";"&lt;Disponível&gt;";;S;S;;;N;S;S;Você pode informar aqui um descritivo para orientar sobre como esta categoria deve ser utilizada.;N;N;;1.02
3Sa_1.03;3Sa;1.03;Devoluções;Devoluções;;N;N;;;N;S;N;;S;N;;1
3Sa_1.03.01;3Sa;1.03.01;Devoluções de Compra de Mercadoria de Revenda;Devoluções de Compra de Mercadoria de Revenda;;S;N;;;N;S;S;Utilize esta categoria para classificar uma entrada de dinheiro proveniente da devolução de uma compra que você fez de mercadoria para revender. Exemplo: você devolve uma determinada compra de produtos ao seu fornecedor e o mesmo lhe devolve o dinheiro que você pagou. Se a sua empresa é exclusivamente prestadora de serviços e não vende produtos, esta categoria pode ser inativada ou desabilitada.;N;N;2.01.02;1.03
3Sa_1.03.02;3Sa;1.03.02;Devoluções de Compra de Material de Consumo;Devoluções de Compra de Material de Consumo;;S;N;;;N;S;S;Utilize esta categoria para classificar uma entrada de dinheiro proveniente da devolução de uma compra que você fez de produto para consumo interno. Exemplo: você devolve uma determinada compra de materiais de consumo ao seu fornecedor e o mesmo lhe devolve o dinheiro que você pagou.;N;N;2.01.02;1.03
3Sa_1.03.03;3Sa;1.03.03;Devoluções de Compra de Matéria Prima;Devoluções de Compra de Ativo - Máquinas e Equip.;;S;N;;;N;S;S;Utilize esta categoria para classificar uma entrada de dinheiro proveniente da devolução de produtos ou insumos utilizados como matéria prima em sua operação. Exemplo: você devolve uma determinada compra de produtos ao seu fornecedor e o mesmo lhe devolve o dinheiro que você pagou.;N;N;2.01.02;1.03
3Sa_1.03.04;3Sa;1.03.04;Devoluções de Compra de Ativo;Devoluções de Compra de Ativo - Veículos;;S;N;;;N;S;S;Utilize esta categoria para classificar uma entrada de dinheiro proveniente da devolução de bens que você fez para ativo. Exemplo: você devolve uma determinada compra de veículo e a concessionária lhe devolve o dinheiro que você pagou.;N;N;;1.03
3Sa_1.03.26;3Sa;1.03.26;Devoluções de Compra de Serviços;Devoluções de Compra de Suprimentos de Informática;;S;N;;;N;S;S;Utilize esta categoria para classificar uma entrada de dinheiro proveniente da devolução de uma compra que você fez de serviços. Exemplo: você devolve ou questiona/reclama uma determinada compra de um serviço tomado ao seu fornecedor e o mesmo lhe devolve o dinheiro que você pagou.;N;N;2.01.02;1.03
3Sa_1.03.97;3Sa;1.03.97;Folha de Pagamento - Reembolso;Folha de Pagamento - Reembolso;;N;S;;;N;S;N;;N;N;;1.03
3Sa_1.03.98;3Sa;1.03.98;Vale Alimentação;Vale Alimentação;;N;S;;;N;S;N;Categoria utilizada para lançamento de créditos nos boletos de vale alimentação. Descontos no boleto da ticket devem ser lançados nesta categoria.;N;N;;1.03
3Sa_1.03.99;3Sa;1.03.99;Reembolso Acerto Saída Credaxx;"&lt;Disponível&gt;";;S;S;;;N;S;N;;N;N;;1.03
3Sa_1.04;3Sa;1.04;Outras Entradas;Outras Receitas;;N;N;;;N;S;N;;S;N;;1
3Sa_1.04.01;3Sa;1.04.01;(+) Recarga cartões;Adiantamento de Clientes;;N;N;;;N;S;N;;N;N;;1.04
3Sa_1.04.02;3Sa;1.04.02;Reembolso de Despesas;Reembolso de Despesas;;S;N;;;N;S;S;Utilize esta categoria para classificar entradas de dinheiro advindas de reembolsos de despesas (comprovadas por relatórios de despesas) recebidas de clientes sobre gastos que ocorreram na sua prestação de serviço.;N;N;2.01.02;1.04
3Sa_1.04.03;3Sa;1.04.03;Empréstimos Bancários;Empréstimos Bancários;;S;N;;;N;S;S;Utilize esta categoria para identificar lançamentos de entradas de dinheiro advindas de empréstimos que você contraiu.;N;N;;1.04
3Sa_1.04.04;3Sa;1.04.04;Aumento de Capital;Aumento de Capital;;S;N;;;N;S;S;Utilize esta categoria para entrada de dinheiro investido pelos os sócios na empresa.;N;N;;1.04
3Sa_1.04.05;3Sa;1.04.05;Venda de Participações;Venda de Participações;;S;N;;;N;S;S;Utilize esta categoria para entradas de dinheiro advindo da venda parcial ou total de outras empresas das quais a sua empresa era dona.;N;N;;1.04
3Sa_1.04.06;3Sa;1.04.06;Venda de Ativos;Venda de Ativos - Máquinas e Equipamentos;;S;N;;;N;S;S;Utilize esta categoria para identificar receitas de venda de ativos, tais como veículos, máquinas e equipamentos que não foram comprados para revender.;N;N;;1.04
3Sa_1.04.95;3Sa;1.04.95;Prêmios de Seguros / Sinistros;"&lt;Disponível&gt;";;S;S;;;N;S;S;Utilize esta categoria para classificar uma entrada de dinheiro proveniente do recebimento de um sinistro de seguro. Por exemplo: Se a sua empresa foi indenizada pelo seguro de qualquer ocorrência como: um automóvel que foi furtado, roubo de notebook de um funcionário, roubo do escritório e outros.;N;N;;1.04
3Sa_1.04.96;3Sa;1.04.96;"&lt;Disponível&gt;";"&lt;Disponível&gt;";;S;S;;;N;S;S;Você pode informar aqui um descritivo para orientar sobre como esta categoria deve ser utilizada.;N;N;;1.04
3Sa_1.04.97;3Sa;1.04.97;"&lt;Disponível&gt;";"&lt;Disponível&gt;";;S;S;;;N;S;S;Você pode informar aqui um descritivo para orientar sobre como esta categoria deve ser utilizada.;N;N;;1.04
3Sa_1.04.98;3Sa;1.04.98;Outras Receitas;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;1.11.01;1.04
3Sa_1.04.99;3Sa;1.04.99;INSS - Licença Maternidade;"&lt;Disponível&gt;";;N;S;;;N;S;N;Categoria utilizada para lançamento do crédito de inss referente ao desconto obtido com a Licença maternidade de colaboradores.;N;N;1.11.01;1.04
3Sa_1.05;3Sa;1.05;Contas em Trânsito - Entradas;"&lt;Incluir novo grupo de Receita&gt;";;N;S;;;N;S;N;;S;N;;1
3Sa_1.05.95;3Sa;1.05.95;Pagamento de contas - CSC;"&lt;Disponível&gt;";;N;S;;;N;S;N;Utilizado quando o valor for somente triangulado pela 3SA para a conta onde haverá o pagamento;N;N;;1.05
3Sa_1.05.96;3Sa;1.05.96;Pendência de conciliação;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.05
3Sa_1.05.97;3Sa;1.05.97;Devolução de Pagamento Indevido;"&lt;Disponível&gt;";;N;S;1.1.3.02.00001;ATIVOS EM CONCILIAÇÃO;N;S;N;;N;N;;1.05
3Sa_1.05.98;3Sa;1.05.98;Recebimento Indevido;"&lt;Disponível&gt;";;N;S;1.1.3.02.00001;ATIVOS EM CONCILIAÇÃO;N;S;N;;N;N;;1.05
3Sa_1.05.99;3Sa;1.05.99;Ressarcimento de Cliente;"&lt;Disponível&gt;";;N;S;1.1.3.02.00001;ATIVOS EM CONCILIAÇÃO;N;S;N;;N;N;;1.05
3Sa_1.06;3Sa;1.06;Receitas Não Operacionais;"&lt;Incluir novo grupo de Receita&gt;";;N;S;;;N;S;N;;S;N;;1
3Sa_1.06.96;3Sa;1.06.96;Recebimento de Cashback;"&lt;Disponível&gt;";;N;S;1.1.3.02.00001;ATIVOS EM CONCILIAÇÃO;N;S;N;;N;N;;1.06
3Sa_1.06.97;3Sa;1.06.97;Recebimento de PLR;"&lt;Disponível&gt;";;N;S;4.2.1.01.00001;PARTICIPAÇÃO NOS LUCROS - EMPREGADOS;N;S;N;;N;N;;1.06
3Sa_1.06.98;3Sa;1.06.98;Reembolsos Plano Saúde/Odonto PJ - Dependentes;"&lt;Disponível&gt;";;N;S;1.1.3.02.00001;ATIVOS EM CONCILIAÇÃO;N;S;N;;N;N;1.11.01;1.06
3Sa_1.06.99;3Sa;1.06.99;Programa de Pontos;"&lt;Disponível&gt;";;N;S;1.1.3.02.00001;ATIVOS EM CONCILIAÇÃO;N;S;N;;N;N;1.11.01;1.06
3Sa_1.07;3Sa;1.07;Repasse - Despesas Diretas;"&lt;Incluir novo grupo de Receita&gt;";;N;S;;;N;S;N;;S;N;;1
3Sa_1.07.99;3Sa;1.07.99;(+) Frete/Carretos/Motoboy;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.07
3Sa_1.08;3Sa;1.08;Repasse - Despesas de Vendas e Marketing;"&lt;Incluir novo grupo de Receita&gt;";;N;S;;;N;S;N;;S;N;;1
3Sa_1.08.95;3Sa;1.08.95;(+) Publicidade;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.08
3Sa_1.08.96;3Sa;1.08.96;(+) Bonificações;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.08
3Sa_1.08.97;3Sa;1.08.97;(+) Despesas de Viagens;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.08
3Sa_1.08.98;3Sa;1.08.98;(+) Marketing;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.08
3Sa_1.08.99;3Sa;1.08.99;(+) Comissões;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.08
3Sa_1.09;3Sa;1.09;Repasse - Despesas com Pessoal;"&lt;Incluir novo grupo de Receita&gt;";;N;S;;;N;S;N;;S;N;;1
3Sa_1.09.57;3Sa;1.09.57;(+) Ajuda de Custo;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.58;3Sa;1.09.58;(+) Emprestimo Consignado;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.59;3Sa;1.09.59;(+) Pensão Alimentícia;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.60;3Sa;1.09.60;(+) Plano Odontológico - Dependente;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.61;3Sa;1.09.61;(+) Plano de Saúde - IOF;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.62;3Sa;1.09.62;(+) Plano de Saúde - Dependente;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.63;3Sa;1.09.63;(+) Despesa com Alimentação;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.64;3Sa;1.09.64;(+) Horas Extras;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.65;3Sa;1.09.65;(+) Vale Transporte;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.66;3Sa;1.09.66;(+) Vale Alimentação;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.67;3Sa;1.09.67;(+) Uniformes;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.68;3Sa;1.09.68;(+) Seguro de Vida;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.69;3Sa;1.09.69;(+) Salários;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.70;3Sa;1.09.70;(+) Rescisão;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.71;3Sa;1.09.71;(+) PLR - Participação nos Resultados;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.72;3Sa;1.09.72;(+) PLR;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.73;3Sa;1.09.73;(+) Plano Saúde/Odonto PJ - Dependentes;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.74;3Sa;1.09.74;(+) Plano Odontológico - Titular;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.75;3Sa;1.09.75;(+) Plano de Saúde - Titular;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.76;3Sa;1.09.76;(+) IRRF - Folha de Pagamento;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.77;3Sa;1.09.77;(+) INSS - Empresa;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.78;3Sa;1.09.78;(+) INSS - Colaborador;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.79;3Sa;1.09.79;(+) Folha de Pagamento PJ;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.80;3Sa;1.09.80;(+) FGTS - Rescisão;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.81;3Sa;1.09.81;(+) FGTS;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.82;3Sa;1.09.82;(+) Férias;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.83;3Sa;1.09.83;(+) Exame Admissional/Demissional;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.84;3Sa;1.09.84;(+) Empresa de Estágio;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.85;3Sa;1.09.85;(+) Devolução de VT;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.86;3Sa;1.09.86;(+) Devolução de VA;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.87;3Sa;1.09.87;(+) Despesas com Alimentação;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.88;3Sa;1.09.88;(+) Cursos e Treinamentos;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.89;3Sa;1.09.89;(+) Confraternização;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.90;3Sa;1.09.90;(+) Cartão Prêmio;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.91;3Sa;1.09.91;(+) Brindes a Colaboradores - Tempo de casa;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.92;3Sa;1.09.92;(+) Brindes a Colaboradores - Aniversariantes do mês;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.93;3Sa;1.09.93;(+) Brindes a Colaboradores;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.94;3Sa;1.09.94;(+) Brindes a Clientes;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.95;3Sa;1.09.95;(+) Bolsa Estagio;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.96;3Sa;1.09.96;(+) Bem Estar e Saúde;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.97;3Sa;1.09.97;(+) Adiantamento de 13º Salário;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.98;3Sa;1.09.98;(+) Adiantamento;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.09.99;3Sa;1.09.99;(+) 13º Salário;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.09
3Sa_1.10;3Sa;1.10;Repasse - Despesas de Infraestrutura;"&lt;Incluir novo grupo de Receita&gt;";;N;S;;;N;S;N;;S;N;;1
3Sa_1.10.73;3Sa;1.10.73;(+) Licença Microsoft;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.10
3Sa_1.10.74;3Sa;1.10.74;(+) Transporte/Locomoção/Estacionamento;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.10
3Sa_1.10.75;3Sa;1.10.75;(+) Telefonia Fixa;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.10
3Sa_1.10.76;3Sa;1.10.76;(+) Telefonia Celular;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.10
3Sa_1.10.77;3Sa;1.10.77;(+) Serviços de Segurança / Monitoramento;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.10
3Sa_1.10.78;3Sa;1.10.78;(+) Seguro Predial;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.10
3Sa_1.10.79;3Sa;1.10.79;(+) Material de Limpeza/Copa/Cozinha;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.10
3Sa_1.10.80;3Sa;1.10.80;(+) Material de Escritório;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.10
3Sa_1.10.81;3Sa;1.10.81;(+) Manutenção e Consertos;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.10
3Sa_1.10.82;3Sa;1.10.82;(+) Manutenção de Rede/Computadores;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.10
3Sa_1.10.83;3Sa;1.10.83;(+) Locação de Software;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.10
3Sa_1.10.84;3Sa;1.10.84;(+) Locação de Impressora;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.10
3Sa_1.10.85;3Sa;1.10.85;(+) Licença Google;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.10
3Sa_1.10.86;3Sa;1.10.86;(+) Junta Comercial (Despesa Própria);"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.10
3Sa_1.10.87;3Sa;1.10.87;(+) IPTU;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.10
3Sa_1.10.88;3Sa;1.10.88;(+) Internet Dedicada;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.10
3Sa_1.10.89;3Sa;1.10.89;(+) Hotel/Passagens;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.10
3Sa_1.10.90;3Sa;1.10.90;(+) Honorários Contábeis;"&lt;Disponível&gt;";;S;S;;;N;S;S;;N;N;;1.10
3Sa_1.10.91;3Sa;1.10.91;(+) Honorários Advocatícios;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.10
3Sa_1.10.92;3Sa;1.10.92;(+) Energia Elétrica;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.10
3Sa_1.10.93;3Sa;1.10.93;(+) Empresa de Limpeza/Conservação/Manutenção;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.10
3Sa_1.10.94;3Sa;1.10.94;(+) Combustível;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.10
3Sa_1.10.95;3Sa;1.10.95;(+) Cartórios (Despesas Própria);"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.10
3Sa_1.10.96;3Sa;1.10.96;(+) Assinaturas, Periódicos e Portais;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.10
3Sa_1.10.97;3Sa;1.10.97;(+) Aluguel/Condomínio;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.10
3Sa_1.10.98;3Sa;1.10.98;(+) Aluguéis Escritório Virtual;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.10
3Sa_1.10.99;3Sa;1.10.99;(+) Água;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.10
3Sa_1.11;3Sa;1.11;Repasse - Despesas Financeiras / Bancos;"&lt;Incluir novo grupo de Receita&gt;";;N;S;;;N;S;N;;S;N;;1
3Sa_1.11.95;3Sa;1.11.95;(+) Tarifas Bancárias;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.11
3Sa_1.11.96;3Sa;1.11.96;(+) Pagamento de Empréstimos;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.11
3Sa_1.11.97;3Sa;1.11.97;(+) Pagamento de Cashback;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.11
3Sa_1.11.98;3Sa;1.11.98;(+) Multas;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.11
3Sa_1.11.99;3Sa;1.11.99;(+) Juros sobre Empréstimos;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.11
3Sa_1.12;3Sa;1.12;Repasse - Impostos e Taxas;"&lt;Incluir novo grupo de Receita&gt;";;N;S;;;N;S;N;;S;N;;1
3Sa_1.12.89;3Sa;1.12.89;(+) Multa/Taxa - Agefis;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.12
3Sa_1.12.90;3Sa;1.12.90;(+) Simples Nacional (DAS);"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.12
3Sa_1.12.91;3Sa;1.12.91;(+) Prejuízos com Clientes;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.12
3Sa_1.12.92;3Sa;1.12.92;(+) PIS;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.12
3Sa_1.12.93;3Sa;1.12.93;(+) ISS;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.12
3Sa_1.12.94;3Sa;1.12.94;(+) IRPJ;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.12
3Sa_1.12.95;3Sa;1.12.95;(+) IPI;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.12
3Sa_1.12.96;3Sa;1.12.96;(+) IOF;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.12
3Sa_1.12.97;3Sa;1.12.97;(+) ICMS;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.12
3Sa_1.12.98;3Sa;1.12.98;(+) Contribuição Social;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.12
3Sa_1.12.99;3Sa;1.12.99;(+) COFINS;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.12
3Sa_1.13;3Sa;1.13;Repasse - Investimento;"&lt;Incluir novo grupo de Receita&gt;";;N;S;;;N;S;N;;S;N;;1
3Sa_1.13.96;3Sa;1.13.96;(+) Obra;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.13
3Sa_1.13.97;3Sa;1.13.97;(+) Móveis e Utensílios - Aquisição;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.13
3Sa_1.13.98;3Sa;1.13.98;(+) Computadores;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.13
3Sa_1.13.99;3Sa;1.13.99;(+) Aparelho Celular;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.13
3Sa_1.14;3Sa;1.14;Repasse - Outras Despesas;"&lt;Incluir novo grupo de Receita&gt;";;N;S;;;N;S;N;;S;N;;1
3Sa_1.14.97;3Sa;1.14.97;(+) Fundo reserva;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.14
3Sa_1.14.98;3Sa;1.14.98;(+) Utilização de espaço;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.14
3Sa_1.14.99;3Sa;1.14.99;(+) Pagamento de boletos - Ticket;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.14
3Sa_1.15;3Sa;1.15;Repasse - Serviços Profissionais;"&lt;Incluir novo grupo de Receita&gt;";;N;S;;;N;S;N;;S;N;;1
3Sa_1.15.96;3Sa;1.15.96;(+) Honorários Gerentes;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.15
3Sa_1.15.97;3Sa;1.15.97;(+) Honorários Contábeis;"&lt;Disponível&gt;";;N;S;;;N;S;N;;N;N;;1.15
